task_id	task_name	train_dataset	test_dataset	reference_size	reference_fraction	repeat	n_samples	n_positive	n_negative	strategy	preprocessing_method	external_reference_strategy	roc_auc	average_precision	balanced_accuracy	brier_score	predicted_positive_rate	median_score_negative	median_score_positive
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	8	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9607843137254901	0.053955439424625405	0.6438356164383562	1.9539958556779388e-08	0.9964906561316009
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	9	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9509803921568627	0.06292708448753695	0.6301369863013698	5.105379752864686e-09	0.9948840800509815
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	10	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9607843137254901	0.04563941871299864	0.6438356164383562	4.053954118996435e-06	0.9748226853670926
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	11	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9803921568627452	0.015198242747544458	0.6712328767123288	3.0676552801797037e-05	0.999666646143778
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	12	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9901960784313726	0.012438894301235966	0.684931506849315	3.617429736485343e-05	0.9992715936561599
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	13	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9117647058823529	0.08966708649575073	0.5753424657534246	6.105913601316281e-08	0.9564891102787659
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	14	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9509803921568627	0.053338364749072394	0.6301369863013698	4.7759385361466147e-08	0.9952285173577897
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	15	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9705882352941176	0.03093597857641109	0.6575342465753424	3.117256026475253e-06	0.9989603237692029
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	16	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9019607843137255	0.1059627101310345	0.5616438356164384	1.8282039587645175e-08	0.9421697333733521
task_a	sepsis_or_shock_vs_healthy	GSE65682	GSE95233	10	0.136986301369863	17	73	51	22	robust_scale_external_adaptive_reference_subset	cohort_robust_scale	external_subset_adaptive	1.0	1.0	0.9509803921568627	0.06948636744627747	0.6301369863013698	5.756018580130734e-10	0.9953383440814195
