task_id	task_name	method	strategy	preprocessing_method	external_reference_strategy	evaluation_type	dataset_id	threshold_type	n_samples	n_positive	n_negative	threshold	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	balanced_accuracy	observed_positive_rate	predicted_positive_rate
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.45	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.46	37	39	1	2	0.9487179487179487	0.975	0.9736842105263158	0.9512195121951219	0.9618589743589743	0.4936708860759494	0.4810126582278481
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.47	36	39	1	3	0.9230769230769231	0.975	0.972972972972973	0.9285714285714286	0.9490384615384615	0.4936708860759494	0.46835443037974683
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.48	36	39	1	3	0.9230769230769231	0.975	0.972972972972973	0.9285714285714286	0.9490384615384615	0.4936708860759494	0.46835443037974683
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.49	36	39	1	3	0.9230769230769231	0.975	0.972972972972973	0.9285714285714286	0.9490384615384615	0.4936708860759494	0.46835443037974683
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.5	36	39	1	3	0.9230769230769231	0.975	0.972972972972973	0.9285714285714286	0.9490384615384615	0.4936708860759494	0.46835443037974683
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.51	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.52	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.53	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.54	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.55	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.56	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.57	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.58	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.59	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.6	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.61	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.62	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.63	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.64	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.65	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.66	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.67	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.68	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.69	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.7	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.71	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.72	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.73	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.74	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
task_a	sepsis_or_shock_vs_healthy	robust_scale_external_adaptive	robust_scale_external_adaptive	cohort_robust_scale	external_cohort_adaptive	external	GSE154918	grid	79	39	40	0.75	36	40	0	3	0.9230769230769231	1.0	1.0	0.9302325581395349	0.9615384615384616	0.4936708860759494	0.45569620253164556
